ID,Text,English Translations,Annotated Emotions,Source
20,यह फिल्म इतनी डरावनी थी कि इसे देखकर मेरी नींद ही उड़ गई।,This movie was so scary that I lost sleep watching it.,Fear,Brighter dataset
21,अरे ! ये कौन सी दवा डाल दी मेरी आँखों में ?!! मेरी तो आँखें ही फूट गयीं !! पता नहीं कहाँ से डॉक्टरी पास की है !!,Hey! What kind of medicine did you put in my eyes? My eyes burst!! I don't know where you graduated from!!,Anger,Brighter dataset
22,"खेत में धान की रोपाई के समय अचानक ज़हरीला सांप दिख गया, हम सब गॉँव घूमने के लिए आए शहर के लड़के डर के मारे कांपने लगे।","While planting paddy in the field, a poisonous snake suddenly appeared. All of us city boys who had come to visit the village trembled with fear.",Fear,Brighter dataset
23,वाह!! तुम्हारा भी पसंदीदा रंग नीला है?,Wow!! Is blue your favorite color too?,Surprise,Brighter dataset
24,बेकिंग करने में मुझे बहुत सुकून मिलता है !,I find baking very relaxing!,NULL,Brighter dataset
25,"जैसे क्राइम बढ़ रहा है, हर शहर क्या हर गली में एक पुलिस चौकी की ज़रूरत लग रही है।","With crime on the rise, it seems every city, not just every street, needs a police station.",NULL,Brighter dataset
26,स्कूल टूर के दौरान मुझे ट्रेन में मेरे दोस्तों से दूर की सीट मिली।,"During a school tour, I got a seat far away from my friends on the train.",Sadness,Brighter dataset
27,मैंने कल रात पूरी किताब पढ़ ली।,I read an entire book last night.,Joy,Brighter dataset
28,"आज अगर मैंने घर की सफाई ठीक से नहीं की, तो माँ बहुत नाराज हो जाएंगी।","If I don't clean the house properly today, Mom will be very angry.",Fear,Brighter dataset
29,"कितनी बार कहा, पर कोई भी सामान सही जगह नहीं रखता! हद हो गयी!","I've told you so many times, but no one puts things away! This is too much!",Anger,Brighter dataset
30,ये ड्रेस दिखने में तो ठीक है पर इसका कपड़ा बहुत ही बेकार है!!,"This dress looks fine, but the fabric is terrible!!",Surprise,Brighter dataset
31,"पक्की नौकरी न होने के कारण, हर छः महीने में निकाल दिए जाने का डर लगा रहता है।","Due to not having a permanent job, I fear being fired every six months.",Fear,Brighter dataset
32,ये चुनौतीपूर्ण स्थितियाँ मेरे भीतर गहरी आशंका और भय पैदा कर रही हैं।,These challenging circumstances are creating deep apprehension and fear within me.,Fear,Brighter dataset
33,माँ के दिए मेरे पसंदीदा टी-सेट के टूट जाने से मेरे दिल को बहुत बड़ा धक्का लगा है।,"My favourite tea set, given by my mother, broke and was deeply hurt.",Sadness,Brighter dataset
34,हर दिन 30 मिनट चलना सेहत के लिए फायदेमंद रहता है।,Walking for 30 minutes every day is beneficial for health.,NULL,Brighter dataset
35,"पुलिस ने निर्दोष लोगों पर गोलियाँ चलवा दीं, उनका यह कृत्य अत्यंत निंदनीय है।",The police opened fire on innocent people; their actions are highly condemnable.,Disgust,Brighter dataset
36,"आज स्कूल के काम में दिन भर मुझे कोई ना कोई अड़चन आती रही, बहुत ही बुरा दिन था।","Today, I faced one of the other obstacles in my schoolwork throughout the day; it was a very bad day.",Sadness,Brighter dataset
37,आज मैंने अपने दोस्तों के साथ ऑनलाइन गेम खेला।,"Today, I played online games with my friends.",Joy,Brighter dataset
38,तुमहारी इस घिनौनी हरकत से परिवार का नाम मिट्टी में मिल गया।,Your heinous act has tarnished the family's reputation.,Anger,Brighter dataset
39,मुल्जिमों को पकड़े जाने से अब मेरे क्षेत्र में सुरक्षा का माहौल बन गया है।,"With the arrest of the culprits, there is now a sense of security in my area.",Joy,Brighter dataset
40,"बेहतर सेवा देने की आड़ में, बड़ी कंपनियां हमारी निजता का उल्लंघन कर, व्यक्तिगत डेटा का दुरुपयोग कर रही हैं।","Under the guise of providing better services, big companies are violating our privacy and misusing personal data.",Surprise,Brighter dataset
41,मेरे घर के पास एक नया पार्क बन रहा है।,A new park is being built near my house.,NULL,Brighter dataset
42,"यह कंगन बहुत खूबसूरत है, पर हमारे बजट में नहीं है।","This bracelet is beautiful, but it's not within our budget.",Sadness,Brighter dataset
43,"हर चीज़ महंगी हो गई है, अब मनपसंद शॉपिंग करना मुश्किल है।","Everything has become expensive, and it's difficult to shop as we please.",Sadness,Brighter dataset
44,"मेरी वॉशिंग मशीन बार-बार खराब हो रही है , मन तो करता है इसे कबाड़ी वाले को दे दूँ !","My washing machine keeps breaking down, and I feel like giving it to the junk dealer!",Anger,Brighter dataset
45,"कल का सपना काफी डरावना था, गुंडों से लड़ते हुए मैं खाई में गिर गया।",Yesterday's dream was quite scary. I fell into a ditch while fighting goons.,Fear,Brighter dataset
46,"नकली दवाओं के कारण मेरा स्वास्थ्य बिगड़ा है, दोषियों को सख्त सजा मिलनी चाहिए!!",My health has deteriorated due to fake medicines. The culprits should be severely punished!,Anger,Brighter dataset
47,"आज भाभी से मछली की करी बहुत खट्टी हो गयी, किसी को भी पसंद नहीं आ रही है।","Today, sister-in-laws fish curry turned out very sour; no one liked it.",Disgust,Brighter dataset
48,कल शाम मैंने दोस्तों से बात की।,I spoke with friends yesterday evening.,NULL,Brighter dataset
49,पिताजी के स्वास्थ्य को लेकर मन में अजीब सा खालीपन है।,I feel a strange emptiness in my heart regarding my father's health.,Sadness,Brighter dataset
50,मैंने गाड़ी का पेट्रोल भरवाया।,I filled up the car with petrol.,NULL,Brighter dataset
51,इस रविवार को हम सब परिवार के साथ मिलकर किसी अच्छे रेस्तरां में खाना खाने का कार्यक्रम बना रहे हैं।,"This Sunday, we're planning to have dinner at a nice restaurant with the whole family.",NULL,Brighter dataset
52,रंग-बिरंगे दीये घर को बहुत सुंदर बना रहे हैं।,The colorful diyas are making the house look really beautiful.,Joy,Brighter dataset
53,"मेरे खेत में खरपतवार हटाने का काम जारी है, और ऐसा नियमित रूप से किया जाता है।","I'm continuing to weed my farm, and it's done regularly.",NULL,Brighter dataset
54,मेरे कर्तव्य? ठीक है.,My duties? Okay.,NULL,Hindi_Sentiment_Dataset
55,मैं तुमसे नहीं माँगता!,I'm not asking you!,Anger,Hindi_Sentiment_Dataset
56,सचमुच?,Really?,Surprise,Hindi_Sentiment_Dataset
57,लेकिन फिर कौन? मैं पिछले महीने के साथ बाहर गया था रेस्तरां?,But then who? I went out to the restaurant with last month?,Surprise,Hindi_Sentiment_Dataset
58,तुम्हें पता है? इसे भूल जाओ!,You know? Forget it!,Anger,Hindi_Sentiment_Dataset
59,"नहीं-नहीं-नहीं, नहीं! कौन, तुम किस बारे में बात कर रहे थे?","No, no, no, no! Who, what were you talking about?",Surprise,Hindi_Sentiment_Dataset
60,"नहीं, मैं नहीं जानता, मैं वास्तव में नहीं जानता","No, I don't know, I really don't know.",NULL,Hindi_Sentiment_Dataset
61,मैं कभी करता हूँ।,I do sometimes.,NULL,Hindi_Sentiment_Dataset
62,क्रिस कहते हैं कि वे बार बंद कर रहे हैं।,Chris says they're closing the bar.,NULL,Hindi_Sentiment_Dataset
63,कदापि नहीं!,Never!,Surprise,Hindi_Sentiment_Dataset
64,बस कॉफी! अब हम कहाँ बाहर घूमना करने जा रहे हैं?,Just coffee! Where are we going to hang out now?,NULL,Hindi_Sentiment_Dataset
65,मुझे मिला.,I got it.,NULL,Hindi_Sentiment_Dataset
66,तुम धोखे में पड़ो!,You're fooled!,NULL,Hindi_Sentiment_Dataset
67,"उम्-अम्, हाँ सही!","Um-um, yeah right!",NULL,Hindi_Sentiment_Dataset
68,"ओह भगवान्, ओह भगवान्! गरीब मोनिका!","Oh my goodness, oh my goodness! Poor Monica!",Surprise,Hindi_Sentiment_Dataset
69,"ओह, आप को एक अँगाड़ की जरूरत है? आप मुझे कुछ भी नहीं लाना है!","Oh, you need a fireplace? You don't have to bring me anything!",Surprise,Hindi_Sentiment_Dataset
70,अरे! तो एस्टेले ने कल मेरे लिए ऑडिशनों की एक गुच्छा तैयार की और मैं जल्दी ही मेरी स्वास्थ्य बीमा वापस मिल जाएगा.,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll get my health insurance back soon.,NULL,Hindi_Sentiment_Dataset
71,"यह बहुत अच्छा है, लेकिन आप अभी शौचालय पर नहीं होना चाहिए?","That's great, but shouldn't you be on the toilet right now?",Surprise,Hindi_Sentiment_Dataset
72,तुम्हें क्या हो गया है?,What's wrong with you?,Anger,Hindi_Sentiment_Dataset
73,"अच्छी तरह से, मैं-मैं अपने पेट में इस अंधापन दर्द था जब मैं पहले वजन उठा रहा था, तो मैं uh बाहर हो गया और uh, अब तक खड़े नहीं हो सका है.","Well, I-I had this blinding pain in my stomach when I was lifting weights earlier, so I passed out and, uh, can't stand up anymore.",Sadness,Hindi_Sentiment_Dataset
74,यह हर्निया की तरह लगता है. आपको डॉक्टर के पास जाना है!,It sounds like a hernia. You have to go to the doctor!,Surprise,Hindi_Sentiment_Dataset
75,मैं जानता था कि वह वह है!,I knew it was him!,Joy,Hindi_Sentiment_Dataset
76,"वैसे भी मैं बस, uh, मुझे लगता है कि यह सर्वोत्तम के लिए है।","Anyway, I just, uh, I think it's for the best.",NULL,Hindi_Sentiment_Dataset
77,मुझे लगता है।,I think.,NULL,Hindi_Sentiment_Dataset
78,या हम आप दोनों में डाल सकते हैं,Or we can put you both in.,NULL,Hindi_Sentiment_Dataset
79,"ठीक है, सज्जनो!","Okay, gentlemen!",NULL,Hindi_Sentiment_Dataset
80,इस रेत के साथ क्या है?,What's with this sand?,Surprise,Hindi_Sentiment_Dataset
81,"ठीक है, वहाँ अंधा आदमी को देखो? मैं उसके सिर में बाद मेंbash करने के लिए जा रहा हूँ.","Okay, see that blind man over there? I'm going to bash him in the head later.",Anger,Hindi_Sentiment_Dataset
82,"ओह, मेरा बड़ा दृश्य आ रहा है. बड़ा दृश्य आ रहा है.","Oh, my big scene is coming. The big scene is coming.",Joy,Hindi_Sentiment_Dataset
83,"अरे, मैं सिर्फ देख नहीं सकता। यह बहुत डराता है!","Damn, I just can't see. It's so scary!",Fear,Hindi_Sentiment_Dataset
84,"ओह हाँ अच्छी तरह से, आप मुझे जानते हैं, बच्चे, जिम्मेदारियाँ, आह!!!","Oh yeah well, you know me, kids, responsibilities, ahh!!!",Sadness,Hindi_Sentiment_Dataset
85,पिज़ा डिलिवरी!,Pizza delivery!,Joy,Hindi_Sentiment_Dataset
86,मैं इसे प्राप्त करूँगा! मैं इसे प्राप्त करूँगा!,I'll get to it! I'll get to it!,Joy,Hindi_Sentiment_Dataset
87,हमारे पास इतना साझी है!,We have so much in common!,Joy,Hindi_Sentiment_Dataset
88,"वह सैंडविच पसंद करता है, खेल, हालांकि वह एक मेटfan है, अब कोई मुद्दा नहीं है लेकिन अगर हम कभी बच्चों के लिए थे, ठीक है कि एक है","He likes sandwiches, sports, although he's a Met fan, not an issue now but if we ever were to have kids, well that's one.",Surprise,Hindi_Sentiment_Dataset
89,"ओह मेरे भगवान! आप बच्चों के बारे में बात कर रहे हैं सुनो. ओह मेरी Joey. ओह, कृपया मैं करने से पहले शादी न करें.","Oh my gosh! You're talking about kids. Listen. Oh my Joey. Oh, please don't get married before I do.",Anger,Hindi_Sentiment_Dataset
90,वह ऐसा कैसे करता है?,How does he do that?,Surprise,Hindi_Sentiment_Dataset
91,क्या आप उसे देखेंगे? वह बहुत शांत है।,Will you look at him? He's so quiet.,Joy,Hindi_Sentiment_Dataset
92,ओह! क्या क्या क्या!...हाई.,Oh! What what what!...Hi.,Surprise,Hindi_Sentiment_Dataset
93,तुमसे क्या हो रहा है?,What's up with you?,Anger,Hindi_Sentiment_Dataset
94,"जल विच्छेदन, क्या आप का मतलब है? क्या है, जल विच्छेदन?","Hydrolysis, do you mean? What is it, hydrolysis?",NULL,Hindi_Sentiment_Dataset
95,"क्या तुम पागल हो? मेरा मतलब है जोय, तुम्हें मार डालेगा, वह वास्तव में तुम्हें मार डालेगा।","Are you crazy? I mean, Joy, he'll kill you, he'll really kill you.",Fear,Hindi_Sentiment_Dataset
96,ठीक है! आप नहीं लगता कि मैंने उस पर सोचा है?,Okay! You don't think I've thought about that?,Anger,Hindi_Sentiment_Dataset
97,तुम कैसे नहीं जानते कि कौन है?,How do you not know who he is?,Surprise,Hindi_Sentiment_Dataset
98,मेरा मतलब है कि अविश्वसनीय है।,"I mean, that's unbelievable.",Surprise,Hindi_Sentiment_Dataset
99,"ठीक है. प्यारा, मैं आप मेरे साथ जाने के लिए चाहता हूँ. क्या?","Okay. Sweetheart, I want you to go with me. What?",NULL,Hindi_Sentiment_Dataset
100,"मैं क्या पहनना चाहिए, अब मैं सभी चिंतित हूँ।","What should I wear, I'm all worried now.",Fear,Hindi_Sentiment_Dataset
